Canal Hollywood HD,Hollywood.es,,+1
Movistar Plus+ HD,Movistar.Plus.es
M+ LaLiga HD,Movistar.LaLiga.es
M+ LaLiga 2 HD,Movistar.LaLiga.2.es
M+ LaLiga 3 HD,Movistar.LaLiga.3.es
DAZN LaLiga HD,DAZN.LALIGA.es
DAZN LaLiga 2 HD,DAZN.LALIGA.2.es
M+ Liga de Campeones HD,Movistar.Liga.de.Campeones.es
M+ Liga de Campeones 2 HD,Movistar.Liga.de.Campeones.2.es
M+ Liga de Campeones 3 HD,Movistar.Liga.de.Campeones.3.es
M+ Liga de Campeones 4,Movistar.Liga.de.Campeones.4.es
M+ Deportes HD,Movistar.Deportes.es
M+ Deportes 2 HD,Movistar.Deportes.2.es
M+ Deportes 3,Movistar.Deportes.3.es
DAZN 1 HD,DAZN.1.es
DAZN 2 HD,DAZN.2.es
DAZN 3 HD,DAZN.3.es
M+ Vamos HD,Movistar.Vamos.es
Eurosport 1 HD,Eurosport.es
Eurosport 2,Eurosport.2.es
LALIGA Inside,LaligaInside.es
M+ Estrenos HD,Movistar.Estrenos.es
M+ Hits HD,Movistar.Hits.es
M+ Comedia HD,Movistar.Comedia.es
M+ Acción HD,Movistar.Accion.es
M+ Drama HD,Movistar.Drama.es
M+ Nicolas Cage,Movistar.Especial.1.es
M+ Romance,Movistar.Especial.2.es
M+ Indie HD,Movistar.Indie.es
M+ Clásicos HD,Movistar.Clasicos.es
M+ Cine Español,Movistar.Cine.Espanol.es
M+ Documentales HD,Movistar.Documentales.es
M+ Originales HD,Movistar.Originales.es
Warner TV HD,Warner.es
SyFy HD,SyFy.es
XTRM,XTRM.es
Sundance.Channel.es,Sundance.es
TCM HD,TCM.es
Dreamworks HD,Dreamworks.es
Nick JR,Nick.JR.es
Nickelodeon HD,Nickelodeon.es
Somos,Somos.es
VinTV,VinTV.es
DARK,Dark.es
Dark Rojo,Dark.Rojo.es
AXN HD,AXN.es
AXN Movies HD,AXN.Movies.es
AMC HD,AMC.es
Calle 13 HD,Calle.13.es
Cosmo HD,Cosmo.es
Comedy Central HD,Comedy.Central.es
Odisea,Odisea.es
National Geographic HD,National.Geographic.es
Nat Geo Wild HD,National.Geographic.Wild.es
AMC Crime,Crime.es
Discovery,Discovery.es
Historia,Historia.es
Primera Federación,Canal.1.1RFEF
Primera Federación,Canal.2.1RFEF
M+ Golf HD,Movistar.Golf.es
LaLiga TV Hypermotion HD,LaLiga.Hypermotion.es
LaLiga TV Hypermotion 2,LaLiga.Hypermotion.2.es
LaLiga TV Hypermotion 3,LaLiga.Hypermotion.3.es
NBA.TV.HD.us2,NBA.us
Tennis Channel,Canal.Tenis.es
DAZN F1 HD,DAZN.F1.es
FR | beIN SPORTS 1,beIN.SPORTS.1.fr
FR | beIN SPORTS 2,beIN.SPORTS.2.fr
FR | beIN SPORTS 3,beIN.SPORTS.3.fr
M+.Copa.del.rey.es,Movistar.Copa.del.Rey.es
DAZN 2 BAR,DAZN.2.BAR.es
DAZN 4 HD,DAZN.4.es
GOL,GOL.PLAY.es
M+ Liga de Campeones 5,Movistar.Liga.de.Campeones.5.es
M+ Liga de Campeones 6,Movistar.Liga.de.Campeones.6.es
M+ Liga de Campeones 7,Movistar.Liga.de.Campeones.7.es
